SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.26,0,0,-0.388,0,0,-0.388,-0.26,0,0,-0.26,-0.26,-0.388,0,-0.464,-0.26,0,0,0,-0.26
-0.209,0,0,-0.209,-0.209,-0.323,-0.209,0,0,-0.401,-0.209,0,-0.401,0,-0.323,-0.456,0,-0.323,0,0
0,0,-0.363,-0.363,-0.24,0,0,-0.442,-0.24,-0.24,0,-0.491,-0.24,0,0,-0.24,0,-0.24,0,0
-0.22,0,-0.22,-0.337,-0.22,-0.337,-0.136,-0.136,-0.22,-0.285,-0.136,-0.136,-0.337,-0.136,-0.136,-0.415,-0.22,-0.136,-0.136,0
0,0,0,-0.332,-0.332,-0.216,0,-0.216,0,-0.411,0,-0.216,-0.332,0,-0.216,-0.464,0,-0.332,-0.216,0
-0.245,0,0,-0.314,-0.153,-0.314,0,-0.153,-0.245,-0.369,0,-0.314,-0.153,-0.412,0,-0.245,-0.314,-0.245,0,-0.153
-0.325,0,-0.285,-0.438,-0.11,-0.438,-0.11,0,-0.181,-0.181,-0.11,-0.11,-0.285,-0.325,0,-0.325,-0.11,-0.181,0,0
-0.332,-0.164,-0.216,-0.26,0,-0.164,-0.098,-0.216,-0.216,-0.362,-0.098,-0.332,-0.26,-0.26,-0.098,-0.332,-0.098,-0.26,0,-0.164
-0.363,0,-0.363,-0.363,0,0,0,0,0,-0.363,-0.24,-0.24,-0.24,-0.363,0,-0.24,-0.363,0,0,-0.24
-0.431,0,0,0,-0.431,-0.431,0,0,-0.299,0,-0.431,0,-0.299,-0.299,0,0,0,-0.299,0,0
0,-0.278,-0.408,-0.176,0,-0.352,-0.176,0,-0.176,-0.352,0,-0.176,-0.278,0,-0.278,-0.352,-0.278,-0.278,0,0
-0.299,0,0,-0.299,-0.299,-0.431,-0.299,0,-0.299,0,0,-0.299,-0.299,0,0,-0.299,0,0,-0.431,0
0,0,-0.431,-0.299,0,0,0,-0.299,0,-0.299,0,0,-0.299,-0.299,-0.299,0,-0.299,-0.299,0,-0.431
0,0,-0.411,0,-0.216,-0.216,0,0,-0.216,-0.411,0,-0.216,-0.332,-0.332,-0.216,-0.216,-0.332,0,0,-0.332
0,0,-0.285,-0.415,0,-0.488,0,0,0,-0.488,0,0,0,0,-0.285,-0.285,0,-0.285,0,-0.285
0,0,-0.24,0,-0.442,-0.363,0,-0.24,0,-0.24,0,-0.24,-0.363,0,-0.442,-0.363,0,-0.24,0,0
-0.26,0,-0.388,-0.26,-0.26,0,0,-0.388,0,-0.26,0,-0.26,-0.464,0,-0.26,-0.26,0,0,0,-0.26
