,Aliphatic_Index,y
Neg_595,9.51219512195122,0
Neg_993,94.28571428571428,0
Neg_1596,44.0,0
Neg_2868,88.4,0
Neg_579,86.9090909090909,0
Neg_1663,96.92307692307692,0
Neg_1040,93.18681318681318,0
Neg_2240,105.66265060240966,0
Neg_2349,55.78947368421052,0
Neg_2207,31.249999999999996,0
Neg_1153,38.26086956521739,0
Neg_580,52.0,0
Neg_2390,28.536585365853657,0
Neg_1683,89.36170212765957,0
Neg_2601,63.86666666666666,0
Neg_2888,103.06818181818184,0
Neg_1121,78.61111111111111,0
Neg_2688,111.1627906976744,0
Neg_1493,8.333333333333332,0
Neg_1272,71.35135135135135,0
Neg_1242,89.28571428571428,0
Neg_1292,12.580645161290322,0
Neg_2398,114.4,0
Neg_1990,109.6875,0
Neg_2241,61.57894736842104,0
Neg_508,83.72093023255815,0
Neg_307,72.62626262626262,0
Neg_2448,97.54716981132076,0
Neg_600,44.333333333333336,0
Neg_601,82.79569892473118,0
Neg_1217,74.02298850574712,0
Neg_839,92.5,0
Neg_682,130.0,0
Neg_2187,164.0625,0
Neg_2821,76.75,0
Neg_2789,0.0,0
Neg_169,76.09375,0
Neg_320,80.78125,0
Neg_2889,90.69767441860466,0
Neg_17,43.4375,0
Neg_1714,64.56521739130434,0
Neg_2605,80.25316455696202,0
Neg_1527,154.16666666666663,0
Neg_83,55.71428571428571,0
Neg_2246,83.57142857142858,0
Neg_114,78.0,0
Neg_1808,83.90625,0
Neg_958,66.875,0
Neg_2093,65.68965517241378,0
Neg_1561,76.25,0
Neg_1870,148.42105263157893,0
Neg_1335,28.823529411764703,0
Neg_1574,92.44680851063828,0
Neg_2188,92.36842105263156,0
Neg_608,83.33333333333331,0
Neg_1240,62.121212121212125,0
Neg_2628,201.3333333333333,0
Neg_1855,60.47619047619047,0
Neg_1793,84.32432432432432,0
Neg_2263,59.72222222222221,0
Neg_2400,57.972972972972975,0
Neg_1583,105.0,0
Neg_410,83.07692307692308,0
Neg_2849,68.4375,0
Neg_1389,90.70707070707071,0
Neg_130,93.11111111111111,0
